Título,Conteúdo
"Com eleição de Paulinho Freire, Carla Dickson assume como deputada federal",
"Após eleições municipais, Agripino fala em “unir os partidos de centro” para 2026",
Paulinho Freire critica PT por “pressão na população” e vai definir transição,
Pesquisa Consult acerta resultado da eleição em Natal,
Paulinho Freire é eleito prefeito de Natal no 2º turno,
Álvaro Dias registra voto e cita obras e Plano Diretor como legados da gestão,
"Paulinho Freire vota, aposta na vitória e critica PT",
Milklei Leite diz que espera maior participação dos eleitores no segundo turno,
Início de votação começa com fila longa em seção de escola da zona Norte de Natal,
"Paulinho Freire lidera com 56,7% das intenções de votos",
575 mil eleitores voltam às urnas neste domingo em Natal,
Natal decide o futuro no 2º turno,
"Mais ação, menos discurso",
CRÔNICA: Um certo José. Por Marcus Aragão,
Dos corações perdidos,
Sócios-torcedores,
Parcerias que constroem pontes: RN e Europa de mãos dadas,
"Mais ação, menos discurso",
CRÔNICA: Um certo José. Por Marcus Aragão,
Parcerias que constroem pontes: RN e Europa de mãos dadas,
Cidadania e participação,
"Com saudade, recordo campanhas políticas",
